"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"14";"XAUUSD_DARWINEX";"Buy";"2024.03.01 17:00:00";"2050.61";"0.30000";"2024.03.01 17:52:00";"2069.41";"560.92";"142714.44";"OOS1";"PT";"-29.25";"564.00";"52m 0s";""
"15";"XAUUSD_DARWINEX";"Buy";"2024.03.04 09:48:00";"2088.22";"0.30000";"2024.03.04 13:32:00";"2082.52";"-174.13";"142540.30";"OOS1";"SL";"-171.00";"0.00";"3h 44m";""
"16";"XAUUSD_DARWINEX";"Buy";"2024.03.04 15:55:00";"2088.22";"0.30000";"2024.03.04 17:57:00";"2107.47";"574.37";"143114.67";"OOS1";"PT";"-8.85";"577.50";"2h 2m";""
"17";"XAUUSD_DARWINEX";"Buy";"2024.03.05 10:27:00";"2119.80";"0.30000";"2024.03.05 15:34:00";"2139.77";"595.92";"143710.59";"OOS1";"PT";"-26.25";"599.10";"5h 7m";""
"18";"XAUUSD_DARWINEX";"Buy";"2024.03.06 16:32:00";"2141.75";"0.30000";"2024.03.06 17:04:00";"2140.77";"-32.61";"143677.98";"OOS1";"TrailingStop";"-29.40";"220.95";"32m 0s";""
"19";"XAUUSD_DARWINEX";"Buy";"2024.03.06 18:01:00";"2141.75";"0.30000";"2024.03.06 19:19:00";"2144.21";"70.59";"143748.56";"OOS1";"TrailingStop";"-32.55";"244.74";"1h 18m";""
"20";"XAUUSD_DARWINEX";"Buy";"2024.03.07 04:35:00";"2152.09";"0.30000";"2024.03.07 08:00:00";"2154.15";"58.57";"143807.14";"OOS1";"TrailingStop";"-74.85";"280.35";"3h 25m";""
"21";"XAUUSD_DARWINEX";"Buy";"2024.03.08 10:28:00";"2164.64";"0.20000";"2024.03.08 15:10:00";"2164.88";"2.64";"143809.78";"OOS1";"TrailingStop";"-26.30";"127.10";"4h 42m";""
"22";"XAUUSD_DARWINEX";"Buy";"2024.03.20 16:02:00";"2162.74";"0.20000";"2024.03.20 16:51:00";"2155.84";"-140.16";"143669.61";"OOS1";"SL";"-138.00";"40.30";"49m 0s";""
"23";"XAUUSD_DARWINEX";"Buy";"2024.03.20 20:00:00";"2162.74";"0.20000";"2024.03.20 21:24:00";"2185.86";"460.24";"144129.84";"OOS1";"PT";"-14.90";"462.40";"1h 24m";""
"24";"XAUUSD_DARWINEX";"Buy";"2024.03.26 11:13:00";"2181.21";"0.20000";"2024.03.26 14:30:00";"2192.89";"231.42";"144361.27";"OOS1";"TrailingStop";"0.00";"375.70";"3h 17m";""
"25";"XAUUSD_DARWINEX";"Buy";"2024.03.26 17:00:00";"2181.21";"0.20000";"2024.03.26 17:37:00";"2173.26";"-161.18";"144200.09";"OOS1";"SL";"-159.00";"6.50";"37m 0s";""
"26";"XAUUSD_DARWINEX";"Buy";"2024.03.28 07:43:00";"2197.51";"0.20000";"2024.03.28 09:30:00";"2193.87";"-75.00";"144125.09";"OOS1";"TrailingStop";"-72.80";"60.70";"1h 47m";""
"27";"XAUUSD_DARWINEX";"Buy";"2024.03.28 11:47:00";"2197.51";"0.20000";"2024.03.28 13:39:00";"2207.42";"196.00";"144321.09";"OOS1";"TrailingStop";"-24.12";"322.50";"1h 52m";""
"28";"XAUUSD_DARWINEX";"Buy";"2024.04.01 18:00:00";"2236.01";"0.20000";"2024.04.02 03:02:00";"2247.97";"236.96";"144558.06";"OOS1";"TrailingStop";"-48.10";"394.70";"9h 2m";""
"29";"XAUUSD_DARWINEX";"Buy";"2024.04.02 12:31:00";"2265.59";"0.20000";"2024.04.02 13:10:00";"2256.76";"-178.87";"144379.19";"OOS1";"SL";"-176.60";"22.10";"39m 0s";""
"30";"XAUUSD_DARWINEX";"Buy";"2024.04.02 16:47:00";"2265.59";"0.20000";"2024.04.02 18:04:00";"2256.70";"-180.07";"144199.13";"OOS1";"SL";"-177.80";"225.36";"1h 17m";""
"31";"XAUUSD_DARWINEX";"Buy";"2024.04.02 20:57:00";"2265.59";"0.20000";"2024.04.03 04:12:00";"2277.57";"237.33";"144436.45";"OOS1";"TrailingStop";"-5.30";"451.90";"7h 15m";""
"32";"XAUUSD_DARWINEX";"Buy";"2024.04.03 17:00:00";"2280.95";"0.20000";"2024.04.04 08:55:00";"2296.46";"307.92";"144744.38";"OOS1";"TrailingStop";"-136.90";"476.90";"15h 55m";""
"33";"XAUUSD_DARWINEX";"Buy";"2024.04.04 21:20:00";"2301.03";"0.20000";"2024.04.04 22:01:00";"2298.28";"-57.30";"144687.08";"OOS1";"TrailingStop";"-76.30";"87.90";"41m 0s";""
