"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"22";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.10 19:00:00";"13921.6";"0.30000";"2021.06.11 21:59:00";"13975.8";"171.49";"123458.06";"OOS1";"End Of Friday (Time)";"-27.66";"227.69";"1d 2h 59m";""
"23";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.17 17:27:00";"14102.4";"0.30000";"2021.06.18 15:10:00";"14123.9";"73.39";"123531.45";"OOS1";"TrailingStop";"-102.69";"324.03";"21h 43m";""
"24";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.22 02:16:00";"14148.4";"0.30000";"2021.06.22 10:51:00";"14088.7";"-180.75";"123350.70";"OOS1";"SL";"-179.10";"38.51";"8h 35m";""
"25";"USATECHIDXUSD_DARWINEX";"Sell";"2021.06.23 14:21:00";"14256.1";"0.20000";"2021.06.24 11:01:00";"14343.6";"-179.44";"123171.26";"OOS1";"SL";"-175.00";"23.74";"20h 40m";""
"26";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.24 15:25:00";"14368.8";"0.30000";"2021.06.25 17:12:00";"14330.2";"-106.91";"123064.35";"OOS1";"TrailingStop";"-115.80";"189.32";"1d 1h 47m";""
"27";"USATECHIDXUSD_DARWINEX";"Buy";"2021.06.28 19:24:00";"14495.8";"0.30000";"2021.06.30 16:59:00";"14529.5";"141.62";"123205.97";"OOS1";"TrailingStop";"-90.69";"332.66";"1d 21h 35m";""
"28";"USATECHIDXUSD_DARWINEX";"Sell";"2021.07.01 13:19:00";"14535.3";"0.20000";"2021.07.02 10:28:00";"14576.1";"-86.04";"123119.92";"OOS1";"TrailingStop";"-87.24";"108.34";"21h 9m";""
"29";"USATECHIDXUSD_DARWINEX";"Buy";"2021.07.06 16:21:00";"14750.8";"0.40000";"2021.07.06 19:02:00";"14705.9";"-181.80";"122938.13";"OOS1";"SL";"-179.60";"181.55";"2h 41m";""
"30";"USATECHIDXUSD_DARWINEX";"Buy";"2021.07.14 16:34:00";"14999.2";"0.30000";"2021.07.14 16:40:00";"14946.7";"-159.15";"122778.98";"OOS1";"SL";"-157.50";"0.00";"6m 0s";""
"31";"USATECHIDXUSD_DARWINEX";"Buy";"2021.07.20 21:09:00";"14752.7";"0.30000";"2021.07.21 14:40:00";"14689.9";"-179.51";"122599.47";"OOS1";"SL";"-188.40";"113.76";"17h 31m";""
"32";"USATECHIDXUSD_DARWINEX";"Buy";"2021.07.21 23:00:00";"14842.4";"0.30000";"2021.07.23 01:00:00";"14988.4";"446.80";"123046.27";"OOS1";"PT";"-33.09";"437.91";"1d 2h 0m";""
"33";"USATECHIDXUSD_DARWINEX";"Buy";"2021.07.23 20:00:00";"15092.5";"0.30000";"2021.07.23 21:59:00";"15109.0";"47.85";"123094.12";"OOS1";"End Of Friday (Time)";"-19.95";"88.20";"1h 59m";""
"34";"USATECHIDXUSD_DARWINEX";"Sell";"2021.07.27 16:58:00";"15049.8";"0.20000";"2021.07.27 17:37:00";"14915.2";"268.10";"123362.22";"OOS1";"PT";"-36.40";"269.20";"39m 0s";""
"35";"USATECHIDXUSD_DARWINEX";"Buy";"2021.08.03 22:06:00";"15050.3";"0.30000";"2021.08.06 15:50:00";"15105.2";"184.13";"123546.35";"OOS1";"TrailingStop";"-122.46";"398.70";"2d 17h 44m";""
"36";"USATECHIDXUSD_DARWINEX";"Buy";"2021.08.16 22:23:00";"15120.7";"0.40000";"2021.08.17 10:10:00";"15073.5";"-191.00";"123355.35";"OOS1";"SL";"-188.80";"97.55";"11h 47m";""
"37";"USATECHIDXUSD_DARWINEX";"Sell";"2021.08.18 22:33:00";"14925.7";"0.20000";"2021.08.19 09:04:00";"14803.6";"243.10";"123598.45";"OOS1";"PT";"-30.18";"244.20";"10h 31m";""
"38";"USATECHIDXUSD_DARWINEX";"Buy";"2021.08.20 12:22:00";"14892.8";"0.30000";"2021.08.20 16:45:00";"15015.3";"365.85";"123964.30";"OOS1";"PT";"-46.50";"367.50";"4h 23m";""
"39";"USATECHIDXUSD_DARWINEX";"Buy";"2021.08.23 19:00:00";"15315.9";"0.30000";"2021.08.26 10:05:00";"15311.2";"36.96";"124001.27";"OOS1";"TrailingStop";"-44.31";"251.07";"2d 15h 5m";""
