"Ticket";"Symbol";"Type";"Open time";"Open price";"Size";"Close time";"Close price";"Profit/Loss";"Balance";"Sample type";"Close type";"MAE ($)";"MFE ($)";"Time in trade";"Comment"
"23103";"XAUUSD_DARWINEX";"Buy";"2024.03.06 16:32:00";"2141.75";"0.30000";"2024.03.06 17:04:00";"2140.92";"-28.11";"127703.95";"IST";"TrailingStop";"-24.90";"220.95";"32m 0s";""
"23112";"XAUUSD_DARWINEX";"Buy";"2024.03.08 10:28:00";"2164.64";"0.30000";"2024.03.08 15:01:00";"2165.02";"8.15";"127712.09";"IST";"TrailingStop";"-39.45";"190.65";"4h 33m";""
"23204";"XAUUSD_DARWINEX";"Buy";"2024.03.20 16:02:00";"2162.74";"0.30000";"2024.03.20 16:50:00";"2156.35";"-194.94";"127517.15";"IST";"SL";"-191.70";"60.45";"48m 0s";""
"23205";"XAUUSD_DARWINEX";"Buy";"2024.03.20 20:00:00";"2162.74";"0.30000";"2024.03.20 20:56:00";"2181.75";"567.06";"128084.20";"IST";"PT";"-22.35";"570.30";"56m 0s";""
"23232";"XAUUSD_DARWINEX";"Buy";"2024.03.26 11:30:00";"2185.97";"0.20000";"2024.03.26 14:22:00";"2193.17";"141.81";"128226.02";"IST";"TrailingStop";"-11.30";"280.50";"2h 52m";""
"23251";"XAUUSD_DARWINEX";"Buy";"2024.03.28 07:43:00";"2197.51";"0.20000";"2024.03.28 09:27:00";"2194.19";"-68.60";"128157.42";"IST";"TrailingStop";"-66.40";"60.70";"1h 44m";""
"23252";"XAUUSD_DARWINEX";"Buy";"2024.03.28 11:47:00";"2197.51";"0.20000";"2024.03.28 13:39:00";"2207.70";"201.60";"128359.02";"IST";"TrailingStop";"-24.12";"322.50";"1h 52m";""
"23253";"XAUUSD_DARWINEX";"Buy";"2024.04.01 18:00:00";"2236.01";"0.20000";"2024.04.02 03:02:00";"2248.13";"240.16";"128599.19";"IST";"TrailingStop";"-48.10";"394.70";"9h 2m";""
"23262";"XAUUSD_DARWINEX";"Buy";"2024.04.02 12:31:00";"2265.59";"0.20000";"2024.04.02 13:10:00";"2257.41";"-165.87";"128433.32";"IST";"SL";"-163.60";"22.10";"39m 0s";""
"23265";"XAUUSD_DARWINEX";"Buy";"2024.04.02 16:47:00";"2265.59";"0.20000";"2024.04.02 17:56:00";"2257.35";"-167.07";"128266.26";"IST";"SL";"-164.80";"225.36";"1h 9m";""
"23268";"XAUUSD_DARWINEX";"Buy";"2024.04.02 20:57:00";"2265.59";"0.20000";"2024.04.03 04:12:00";"2277.72";"240.33";"128506.59";"IST";"TrailingStop";"-5.30";"451.90";"7h 15m";""
"23274";"XAUUSD_DARWINEX";"Buy";"2024.04.03 17:00:00";"2280.95";"0.20000";"2024.04.03 19:11:00";"2280.65";"-8.28";"128498.31";"IST";"TrailingStop";"-136.90";"145.90";"2h 11m";""
"23289";"XAUUSD_DARWINEX";"Buy";"2024.04.04 21:20:00";"2301.03";"0.20000";"2024.04.04 22:01:00";"2298.52";"-52.50";"128445.81";"IST";"TrailingStop";"-76.30";"87.90";"41m 0s";""
"23301";"XAUUSD_DARWINEX";"Buy";"2024.04.05 17:24:00";"2305.43";"0.20000";"2024.04.05 21:59:00";"2325.24";"393.89";"128839.70";"IST";"End Of Friday (Time)";"-10.10";"498.30";"4h 35m";""
"23303";"XAUUSD_DARWINEX";"Buy";"2024.04.08 18:06:00";"2330.34";"0.20000";"2024.04.09 11:36:00";"2358.44";"559.67";"129399.38";"IST";"PT";"-95.64";"562.00";"17h 30m";""
"23304";"XAUUSD_DARWINEX";"Buy";"2024.04.09 16:30:00";"2353.84";"0.20000";"2024.04.09 17:41:00";"2348.88";"-101.55";"129297.82";"IST";"TrailingStop";"-99.20";"205.90";"1h 11m";""
"23310";"XAUUSD_DARWINEX";"Buy";"2024.04.09 23:36:00";"2353.84";"0.20000";"2024.04.10 04:03:00";"2348.28";"-113.55";"129184.27";"IST";"TrailingStop";"-111.20";"32.50";"4h 27m";""
"23339";"XAUUSD_DARWINEX";"Buy";"2024.04.11 21:06:00";"2360.07";"0.10000";"2024.04.12 04:50:00";"2389.44";"292.52";"129476.79";"IST";"PT";"-7.45";"293.70";"7h 44m";""
"23362";"XAUUSD_DARWINEX";"Buy";"2024.04.16 18:03:00";"2387.45";"0.10000";"2024.04.16 20:21:00";"2389.21";"16.41";"129493.20";"IST";"TrailingStop";"-96.35";"106.78";"2h 18m";""
"23389";"XAUUSD_DARWINEX";"Buy";"2024.04.19 04:27:00";"2395.45";"0.10000";"2024.04.19 05:40:00";"2401.49";"59.20";"129552.40";"IST";"TrailingStop";"-12.22";"222.95";"1h 13m";""
